rollout/ep_rew_mean,train/explained_variance,train/n_updates,rollout/ep_len_mean,train/policy_loss,time/fps,time/time_elapsed,time/total_timesteps,train/entropy_loss,time/iterations,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
83.13,0.6168548166751862,23299,870.89,-0.2578091025352478,445,4188,1864000,-0.12364788353443146,23300,0.0007,6.726090431213379,,
82.73,0.8093755394220352,23399,884.58,-0.02257106639444828,445,4205,1872000,-0.07578473538160324,23400,0.0007,2.8964924812316895,,
79.1,0.9451290145516396,23499,927.77,-0.007890403270721436,445,4222,1880000,-0.07426226139068604,23500,0.0007,0.5112091898918152,,
80.3,0.8793407678604126,23599,976.56,-0.06882550567388535,445,4239,1888000,-0.16367197036743164,23600,0.0007,1.1376069784164429,,
80.12,0.9061334803700447,23699,1006.84,0.03826143220067024,445,4257,1896000,-0.1019175797700882,23700,0.0007,0.9819234013557434,,
83.93,0.7179239392280579,23799,1000.0,-0.0362582765519619,445,4275,1904000,-0.1419352889060974,23800,0.0007,4.990418910980225,,
89.08,0.9476391598582268,23899,899.66,-0.0688512846827507,445,4292,1912000,-0.10018211603164673,23900,0.0007,0.7284050583839417,,
,0.8357723653316498,23999,,-0.17549242079257965,,,1920000,-0.1979842633008957,,0.0007,2.5860116481781006,101.6,919.6
93.14,,,865.05,,444,4315,1920000,,24000,,,,
96.56,0.8757264837622643,24099,855.01,0.04225451499223709,445,4332,1928000,-0.10929358005523682,24100,0.0007,2.41191029548645,,
99.05,0.9573164619505405,24199,889.05,-0.03058529458940029,445,4350,1936000,-0.1135784313082695,24200,0.0007,0.7275829911231995,,
98.67,0.7076900899410248,24299,889.86,0.02244614064693451,445,4367,1944000,-0.11458263546228409,24300,0.0007,3.9356842041015625,,
98.4,0.8906686305999756,24399,893.15,-0.060057591646909714,445,4385,1952000,-0.10707496851682663,24400,0.0007,1.7855819463729858,,
97.9,0.9361132979393005,24499,895.92,-0.024588318541646004,445,4402,1960000,-0.09771323204040527,24500,0.0007,0.6739935278892517,,
92.4,0.886159636080265,24599,883.23,0.009467309340834618,445,4420,1968000,-0.12933801114559174,24600,0.0007,1.478017807006836,,
93.11,0.7207286953926086,24699,874.89,0.029017770662903786,445,4437,1976000,-0.10644178837537766,24700,0.0007,2.5488555431365967,,
88.99,0.9127331227064133,24799,926.35,0.04510679841041565,445,4454,1984000,-0.08374231308698654,24800,0.0007,1.144134521484375,,
88.15,0.9487507939338684,24899,992.43,-0.05692839249968529,445,4472,1992000,-0.0880637839436531,24900,0.0007,0.9568535089492798,,
84.38,0.8356645107269287,24999,1063.76,0.03332784026861191,445,4489,2000000,-0.11506938934326172,25000,0.0007,1.6989425420761108,,
86.9,0.9237259477376938,25099,1043.26,0.00791851431131363,445,4507,2008000,-0.0919182077050209,25100,0.0007,1.4529231786727905,,
89.24,0.9205585494637489,25199,979.88,0.0049369134940207005,445,4524,2016000,-0.08320051431655884,25200,0.0007,1.1131120920181274,,
95.88,0.9617496877908707,25299,955.96,-0.014904349111020565,445,4541,2024000,-0.09673850983381271,25300,0.0007,0.5861878395080566,,
99.32,0.8924390152096748,25399,952.38,-0.09670223295688629,445,4558,2032000,-0.11269505321979523,25400,0.0007,1.3531715869903564,,
99.64,0.9789132624864578,25499,985.82,-0.0059792520478367805,445,4576,2040000,-0.07195322960615158,25500,0.0007,0.4461117684841156,,
95.75,0.9727914351969957,25599,976.64,-0.007402908988296986,445,4593,2048000,-0.05196986719965935,25600,0.0007,0.46894875168800354,,
94.71,0.9411508291959763,25699,1040.62,-0.009399567730724812,445,4610,2056000,-0.06329146772623062,25700,0.0007,0.8127776384353638,,
92.27,0.9708455856889486,25799,1074.51,0.06088608503341675,445,4628,2064000,-0.09920159727334976,25800,0.0007,0.45653682947158813,,
91.44,0.9352052956819534,25899,1100.99,-0.09132056683301926,445,4645,2072000,-0.08651268482208252,25900,0.0007,1.5467791557312012,,
,0.9592297524213791,25999,,-0.022075410932302475,,,2080000,-0.11889517307281494,,0.0007,0.7811291217803955,112.0,907.8
91.15,,,1110.89,,445,4669,2080000,,26000,,,,
92.16,0.8738687038421631,26099,1116.03,-0.12150728702545166,445,4686,2088000,-0.08747191727161407,26100,0.0007,2.2367143630981445,,
92.17,0.9356262683868408,26199,1157.14,0.01863604597747326,445,4703,2096000,-0.10139916092157364,26200,0.0007,0.773370623588562,,
91.93,0.9077986106276512,26299,1100.16,-0.018715089187026024,445,4720,2104000,-0.09178738296031952,26300,0.0007,1.3880958557128906,,
91.25,0.9107639789581299,26399,1118.31,-0.003321504220366478,445,4738,2112000,-0.0346846841275692,26400,0.0007,0.8905588388442993,,
92.33,0.9655617102980614,26499,1208.18,0.02853640355169773,445,4755,2120000,-0.058325089514255524,26500,0.0007,0.4123048484325409,,
93.41,0.9224480241537094,26599,1249.72,0.018626706674695015,445,4772,2128000,-0.07967542111873627,26600,0.0007,1.6499159336090088,,
93.83,0.9788146466016769,26699,1280.93,-0.01017798762768507,445,4789,2136000,-0.08609068393707275,26700,0.0007,0.37304919958114624,,
92.28,0.9639101475477219,26799,1208.19,-0.0024971626698970795,446,4806,2144000,-0.10042935609817505,26800,0.0007,0.7288728952407837,,
89.33,0.9073956906795502,26899,1117.47,0.09821561723947525,446,4823,2152000,-0.11388649046421051,26900,0.0007,0.9520263671875,,
86.78,0.9457725808024406,26999,1078.87,0.002632921328768134,446,4841,2160000,-0.11036796867847443,27000,0.0007,1.1058399677276611,,
86.23,0.8929313570261002,27099,1102.53,-0.03013138845562935,446,4858,2168000,-0.08092335611581802,27100,0.0007,1.2179559469223022,,
87.44,0.9016800746321678,27199,1140.26,-0.01092746201902628,446,4875,2176000,-0.08075005561113358,27200,0.0007,1.7508556842803955,,
91.54,0.9443200528621674,27299,1055.58,-0.023271342739462852,446,4893,2184000,-0.09905976057052612,27300,0.0007,0.4524701237678528,,
96.41,0.819812536239624,27399,1032.31,-0.16594362258911133,446,4910,2192000,-0.12426543235778809,27400,0.0007,3.281446933746338,,
97.96,0.834928885102272,27499,976.55,-0.017799412831664085,446,4927,2200000,-0.10174448788166046,27500,0.0007,1.9414104223251343,,
98.29,0.872076153755188,27599,996.57,-0.028812473639845848,446,4944,2208000,-0.11006195843219757,27600,0.0007,1.580969214439392,,
96.66,0.7794427424669266,27699,1009.01,-0.024560725316405296,446,4962,2216000,-0.15449337661266327,27700,0.0007,1.1848578453063965,,
98.2,0.9416714161634445,27799,1026.14,-0.014267678372561932,446,4980,2224000,-0.0640900507569313,27800,0.0007,0.6016599535942078,,
98.7,0.9807213470339775,27899,1088.9,-0.004749062936753035,446,4996,2232000,-0.07518821954727173,27900,0.0007,0.2643605172634125,,
,0.9412996806204319,27999,,0.03813111037015915,,,2240000,-0.12786732614040375,,0.0007,0.5451810956001282,91.4,1614.6
95.0,,,1144.69,,445,5030,2240000,,28000,,,,
94.5,0.9697014782577753,28099,1151.94,0.000529807060956955,445,5047,2248000,-0.09174235165119171,28100,0.0007,0.37593042850494385,,
93.02,0.9577277638018131,28199,1141.28,0.011503967456519604,445,5065,2256000,-0.06710194796323776,28200,0.0007,0.7629023790359497,,
95.39,0.9376622699201107,28299,1108.38,-0.010943012312054634,445,5082,2264000,-0.11399449408054352,28300,0.0007,1.1698248386383057,,
96.72,0.8393031656742096,28399,1049.82,0.0019424911588430405,445,5099,2272000,-0.12310095131397247,28400,0.0007,2.3065459728240967,,
96.64,0.922115184366703,28499,964.23,-0.03224826976656914,445,5117,2280000,-0.1517401784658432,28500,0.0007,2.2068018913269043,,
95.17,0.9448579959571362,28599,907.83,-0.019452793523669243,445,5134,2288000,-0.11432947963476181,28600,0.0007,0.6932055354118347,,
95.9,0.9634970240294933,28699,938.06,-0.15230761468410492,445,5151,2296000,-0.08838613331317902,28700,0.0007,0.677075982093811,,
94.18,0.962155170738697,28799,986.89,0.006454400718212128,445,5168,2304000,-0.0467664860188961,28800,0.0007,0.49682721495628357,,
97.16,0.9855994917452335,28899,1071.24,-0.0005941426497884095,445,5185,2312000,-0.036700788885354996,28900,0.0007,0.30750659108161926,,
94.85,0.9744502175599337,28999,1184.92,-0.02357153408229351,445,5203,2320000,-0.07049121707677841,29000,0.0007,0.4270265996456146,,
96.13,0.9350132867693901,29099,1272.61,0.03022584691643715,445,5220,2328000,-0.11883129179477692,29100,0.0007,1.2551205158233643,,
98.46,0.743238627910614,29199,1299.81,-0.10282925516366959,446,5237,2336000,-0.13117682933807373,29200,0.0007,2.6506357192993164,,
98.54,0.9407410025596619,29299,1245.61,0.0003991166304331273,446,5255,2344000,-0.06705104559659958,29300,0.0007,0.7689065933227539,,
99.46,0.7557189017534256,29399,1084.39,-0.010726280510425568,446,5272,2352000,-0.09513809531927109,29400,0.0007,5.40852689743042,,
97.64,0.923553928732872,29499,1099.77,-0.014401025138795376,446,5289,2360000,-0.07584147900342941,29500,0.0007,1.0244354009628296,,
94.5,0.980080496519804,29599,1100.34,0.0026065674610435963,446,5307,2368000,-0.043145984411239624,29600,0.0007,0.2526648938655853,,
99.69,0.9803551752120256,29699,1135.59,-0.015097609721124172,446,5324,2376000,-0.12053890526294708,29700,0.0007,0.5024186372756958,,
103.03,0.9749052003026009,29799,1089.65,0.04481356963515282,446,5341,2384000,-0.09646620601415634,29800,0.0007,0.4466349184513092,,
107.01,0.9548435769975185,29899,1079.27,-0.026500070467591286,446,5359,2392000,-0.12580421566963196,29900,0.0007,0.6778720617294312,,
,0.9721270501613617,29999,,0.046978071331977844,,,2400000,-0.10482247173786163,,0.0007,0.6060894131660461,100.2,1190.2
103.29,,,1015.95,,445,5384,2400000,,30000,,,,
100.28,0.9186277166008949,30099,1032.02,-0.1776599884033203,445,5401,2408000,-0.10507090389728546,30100,0.0007,1.1276540756225586,,
102.03,0.514620453119278,30199,1055.84,0.02239340916275978,445,5418,2416000,-0.050241220742464066,30200,0.0007,3.203437089920044,,
103.25,0.9937299378216267,30299,1141.99,0.01616845466196537,445,5436,2424000,-0.11756260693073273,30300,0.0007,0.21336281299591064,,
105.5,0.9809657372534275,30399,1160.07,-0.005587367806583643,445,5453,2432000,-0.08558062463998795,30400,0.0007,0.21603111922740936,,
108.8,0.905162401497364,30499,1128.98,-0.02611691690981388,445,5471,2440000,-0.13507358729839325,30500,0.0007,2.063903570175171,,
108.49,0.9144148603081703,30599,1087.71,-0.06721923500299454,446,5488,2448000,-0.17534089088439941,30600,0.0007,1.2733253240585327,,
109.22,0.9581348560750484,30699,1044.92,-0.008083932101726532,446,5505,2456000,-0.09341400116682053,30700,0.0007,0.7725454568862915,,
106.12,0.8928892537951469,30799,1030.86,0.013252011500298977,446,5523,2464000,-0.1266072541475296,30800,0.0007,1.9929012060165405,,
105.77,0.944669745862484,30899,1079.7,-0.33733853697776794,446,5540,2472000,-0.0576595664024353,30900,0.0007,0.9445128440856934,,
107.48,0.8434606939554214,30999,1138.56,-0.09020604193210602,446,5558,2480000,-0.04931054636836052,31000,0.0007,2.849900007247925,,
112.33,0.944558460265398,31099,1262.75,-0.02551223151385784,446,5575,2488000,-0.14121200144290924,31100,0.0007,1.3644994497299194,,
114.25,0.9193540588021278,31199,1327.44,-0.009681637398898602,446,5592,2496000,-0.06032659485936165,31200,0.0007,1.3117974996566772,,
115.7,0.9295067638158798,31299,1340.84,-0.028676336631178856,446,5609,2504000,-0.06362497061491013,31300,0.0007,1.865639090538025,,
112.39,0.9881967315450311,31399,1313.41,-0.0027172896079719067,446,5626,2512000,-0.08193116635084152,31400,0.0007,0.19598011672496796,,
110.85,0.8242209404706955,31499,1334.81,-0.05256590247154236,446,5643,2520000,-0.08099054545164108,31500,0.0007,3.0694901943206787,,
110.08,0.890391618013382,31599,1352.41,-0.023778265342116356,446,5661,2528000,-0.14013098180294037,31600,0.0007,2.035557508468628,,
109.37,0.9477792046964169,31699,1346.9,-0.019567713141441345,446,5678,2536000,-0.07755628228187561,31700,0.0007,0.8794536590576172,,
109.14,0.9620250128209591,31799,1354.44,0.005229136440902948,446,5695,2544000,-0.05101979896426201,31800,0.0007,0.2870890498161316,,
114.04,0.8393089324235916,31899,1316.66,0.026606136932969093,446,5712,2552000,-0.05845678597688675,31900,0.0007,1.3513380289077759,,
,0.9654315859079361,31999,,-0.013635185547173023,,,2560000,-0.077003113925457,,0.0007,0.4386751353740692,108.6,1520.0
113.31,,,1320.86,,445,5744,2560000,,32000,,,,
114.89,0.9478294961154461,32099,1334.59,-0.0766650140285492,445,5762,2568000,-0.0477859191596508,32100,0.0007,1.134046196937561,,
117.17,0.9716643877327442,32199,1371.26,0.0026418324559926987,445,5779,2576000,-0.059796370565891266,32200,0.0007,0.246133953332901,,
116.26,0.9173398837447166,32299,1438.75,0.07842160016298294,445,5796,2584000,-0.07926405966281891,32300,0.0007,2.098416328430176,,
115.76,0.9790799468755722,32399,1494.96,-0.014979776926338673,445,5813,2592000,-0.07405443489551544,32400,0.0007,0.41658446192741394,,
119.43,0.9239533990621567,32499,1534.01,0.006258904468268156,445,5830,2600000,-0.06192630156874657,32500,0.0007,1.4804677963256836,,
115.22,0.6862067878246307,32599,1535.03,-0.010785121470689774,446,5847,2608000,-0.07467727363109589,32600,0.0007,3.830143690109253,,
110.36,0.9180243909358978,32699,1493.1,0.005703271832317114,446,5864,2616000,-0.06352174282073975,32700,0.0007,1.0035127401351929,,
110.96,0.9815213195979595,32799,1404.96,-0.04727276787161827,446,5881,2624000,-0.053298015147447586,32800,0.0007,0.39247262477874756,,
108.55,0.8068882822990417,32899,1341.11,-0.01751534268260002,446,5899,2632000,-0.056274332106113434,32900,0.0007,2.380807638168335,,
110.35,0.862865537405014,32999,1308.2,-0.0025053657591342926,446,5916,2640000,-0.05166713520884514,33000,0.0007,1.2842967510223389,,
115.71,0.939857006072998,33099,1310.83,0.0052169980481266975,446,5933,2648000,-0.14856445789337158,33100,0.0007,1.4040569067001343,,
115.32,0.43935102224349976,33199,1295.2,-0.03263698145747185,446,5950,2656000,-0.09375277906656265,33200,0.0007,9.598128318786621,,
116.93,0.9702246114611626,33299,1262.03,0.08270459622144699,446,5967,2664000,-0.16493980586528778,33300,0.0007,0.9241691827774048,,
116.36,0.9437072724103928,33399,1235.21,0.01867300271987915,446,5985,2672000,-0.04561794921755791,33400,0.0007,1.04093337059021,,
117.67,0.972042690962553,33499,1260.66,0.04202193021774292,446,6002,2680000,-0.08742717653512955,33500,0.0007,0.650311291217804,,
118.07,0.793848991394043,33599,1297.46,-0.056272584944963455,446,6019,2688000,-0.06420224159955978,33600,0.0007,3.8250770568847656,,
119.56,0.9566022045910358,33699,1308.35,0.018427951261401176,446,6036,2696000,-0.08986459672451019,33700,0.0007,0.8437232375144958,,
119.87,0.9882778814062476,33799,1359.49,-0.049978673458099365,446,6053,2704000,-0.0725652202963829,33800,0.0007,0.2061794549226761,,
122.91,0.9750792477279902,33899,1378.41,-0.011809336952865124,446,6071,2712000,-0.05426988750696182,33900,0.0007,0.5985774397850037,,
,0.9302090629935265,33999,,0.019393010064959526,,,2720000,-0.04121812805533409,,0.0007,1.967211127281189,125.8,1237.8
121.12,,,1378.03,,446,6093,2720000,,34000,,,,
119.34,0.974733229726553,34099,1379.46,-0.02499075047671795,446,6111,2728000,-0.04567302018404007,34100,0.0007,0.6278395652770996,,
117.29,0.964677769690752,34199,1373.17,-0.02462421916425228,446,6127,2736000,-0.052915144711732864,34200,0.0007,0.5906444787979126,,
115.82,0.6840034425258636,34299,1409.57,-0.3558506965637207,446,6145,2744000,-0.07173410803079605,34300,0.0007,7.847231388092041,,
117.6,0.823867604136467,34399,1442.37,-0.033751945942640305,446,6162,2752000,-0.11358243227005005,34400,0.0007,2.6767570972442627,,
116.38,0.8713976889848709,34499,1473.37,-0.04180682450532913,446,6179,2760000,-0.0603487603366375,34500,0.0007,2.1379284858703613,,
115.41,0.9749192297458649,34599,1515.78,0.04592874273657799,446,6196,2768000,-0.05338117107748985,34600,0.0007,0.570896565914154,,
116.2,0.8859410956501961,34699,1501.66,-0.0019494828302413225,446,6213,2776000,-0.049778327345848083,34700,0.0007,2.36850643157959,,
117.21,0.9271609783172607,34799,1501.7,-0.014092111960053444,446,6230,2784000,-0.059861112385988235,34800,0.0007,1.1392301321029663,,
120.69,0.9613083600997925,34899,1545.32,-0.031795352697372437,446,6247,2792000,-0.09071344882249832,34900,0.0007,1.0266176462173462,,
120.11,0.9835509788244963,34999,1529.49,-0.00022021103359293193,446,6264,2800000,-0.028246581554412842,35000,0.0007,0.2529643476009369,,
122.25,0.9719501435756683,35099,1521.65,5.7933804782805964e-05,446,6282,2808000,-0.033369895070791245,35100,0.0007,0.5091479420661926,,
123.6,0.9477193914353848,35199,1505.63,0.034822728484869,447,6299,2816000,-0.05475873872637749,35200,0.0007,1.1636741161346436,,
122.88,0.9839733894914389,35299,1493.93,-0.027465179562568665,447,6316,2824000,-0.09395980834960938,35300,0.0007,0.5644258856773376,,
122.94,0.9855757365003228,35399,1478.21,0.007102136965841055,447,6332,2832000,-0.033686187118291855,35400,0.0007,0.4046890437602997,,
123.66,0.9615654461085796,35499,1485.92,-0.1306159943342209,447,6350,2840000,-0.05246923491358757,35500,0.0007,1.039232850074768,,
122.8,0.987136640585959,35599,1521.8,0.0013120401417836547,447,6367,2848000,-0.0661756619811058,35600,0.0007,0.395469069480896,,
125.71,0.9856813130900264,35699,1528.05,0.06781836599111557,447,6385,2856000,-0.039619214832782745,35700,0.0007,0.3898094892501831,,
124.0,0.9652349054813385,35799,1470.16,0.010340094566345215,447,6402,2864000,-0.03991356119513512,35800,0.0007,0.5644449591636658,,
122.22,0.9696134608238935,35899,1489.0,0.05226891115307808,447,6419,2872000,-0.06352458149194717,35900,0.0007,0.9962190985679626,,
,0.9885899471119046,35999,,0.026952749118208885,,,2880000,-0.06339412182569504,,0.0007,0.3019990622997284,138.6,1952.8
122.82,,,1509.57,,446,6449,2880000,,36000,,,,
124.23,0.9691134225577116,36099,1562.75,-0.03271717205643654,446,6467,2888000,-0.06478941440582275,36100,0.0007,0.7112964391708374,,
124.21,0.9801336452364922,36199,1580.56,-0.0958181768655777,446,6484,2896000,-0.08112653344869614,36200,0.0007,1.0651359558105469,,
124.51,0.9611656032502651,36299,1626.76,-0.0002400770754320547,446,6501,2904000,-0.07354741543531418,36300,0.0007,0.7554067969322205,,
125.66,0.9308122843503952,36399,1657.61,0.011057755909860134,446,6518,2912000,-0.06263711303472519,36400,0.0007,1.2421931028366089,,
123.37,0.9388463981449604,36499,1616.48,-0.20769372582435608,446,6535,2920000,-0.05851909518241882,36500,0.0007,1.7630828619003296,,
122.16,0.9822127036750317,36599,1515.91,-0.10073418915271759,446,6552,2928000,-0.04192332550883293,36600,0.0007,0.5029544830322266,,
