time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
3736000,46700,875,4267,-0.07455640286207199,68.73,0.0007,46699,0.33720389008522034,586.03,0.9129762202501297,-0.33726683259010315,,
3744000,46800,875,4277,-0.007871847599744797,69.77,0.0007,46799,0.12338607758283615,570.16,0.946954607963562,-0.17826515436172485,,
3752000,46900,875,4286,-0.09475670009851456,66.76,0.0007,46899,0.4787817895412445,579.46,0.8237651437520981,-0.153421089053154,,
3760000,47000,875,4295,0.012108931317925453,63.82,0.0007,46999,0.06592398136854172,570.99,0.9839553087949753,-0.24620060622692108,,
3768000,47100,875,4303,-0.018325498327612877,64.83,0.0007,47099,0.24141526222229004,567.41,0.9371377006173134,-0.18001283705234528,,
3776000,47200,875,4312,-0.003700477769598365,66.81,0.0007,47199,0.028562167659401894,589.16,0.9895494841039181,-0.16958153247833252,,
3784000,47300,875,4321,-0.22547879815101624,67.96,0.0007,47299,0.8229778409004211,582.64,0.8655211180448532,-0.271824449300766,,
3792000,47400,875,4330,-0.008634215220808983,69.35,0.0007,47399,0.1385800689458847,588.59,0.9726643115282059,-0.24619773030281067,,
3800000,47500,875,4338,-0.012142657302320004,68.16,0.0007,47499,0.0781484991312027,587.48,0.9714762344956398,-0.5822662711143494,,
3808000,47600,875,4347,-0.0057831513695418835,68.71,0.0007,47599,0.12303437292575836,586.94,0.9764532875269651,-0.218901589512825,,
3816000,47700,875,4356,0.17118433117866516,69.88,0.0007,47699,0.8304504752159119,601.44,0.7771277874708176,-0.3181350827217102,,
3824000,47800,875,4365,-0.06826917082071304,70.61,0.0007,47799,2.083906888961792,610.02,0.5115294754505157,-0.16768740117549896,,
3832000,47900,875,4374,-0.08159725368022919,71.78,0.0007,47899,1.3825621604919434,622.02,0.652094155550003,-0.1853441447019577,,
3840000,,,,-0.09326662868261337,,0.0007,47999,0.24957437813282013,,0.9310151487588882,-0.3067514896392822,82.8,870.2
3840000,48000,873,4398,,71.79,,,,625.69,,,,
3848000,48100,873,4406,-0.039665065705776215,71.88,0.0007,48099,0.12436719238758087,636.36,0.9504284858703613,-0.37028539180755615,,
3856000,48200,873,4415,0.05813189968466759,68.75,0.0007,48199,0.5802280902862549,651.78,0.91377242654562,-0.3841838538646698,,
3864000,48300,873,4424,0.043937798589468,68.48,0.0007,48299,0.7466740012168884,662.63,0.829825833439827,-0.3599908649921417,,
3872000,48400,873,4433,0.009430977515876293,70.62,0.0007,48399,0.8789510726928711,663.25,0.7847210466861725,-0.5721706748008728,,
