time/time_elapsed,rollout/exploration_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
4569,0.05,1741420,39132,381,34.44,922.74,,,105713,0.0001,0.22092695534229279
4570,0.05,1741708,39136,381,34.43,919.22,,,105731,0.0001,0.028009511530399323
4571,0.05,1741936,39140,381,34.42,922.67,,,105745,0.0001,0.10743851214647293
4571,0.05,1742128,39144,381,34.42,922.67,,,105757,0.0001,0.26097235083580017
4571,0.05,1742328,39148,381,34.43,921.73,,,105770,0.0001,0.33250683546066284
4572,0.05,1742636,39152,381,34.52,926.3,,,105789,0.0001,0.030638786032795906
4573,0.05,1742876,39156,381,34.52,926.3,,,105804,0.0001,0.034934841096401215
4573,0.05,1743020,39160,381,34.52,926.3,,,105813,0.0001,0.05730298161506653
4574,0.05,1743304,39164,381,34.53,925.53,,,105831,0.0001,0.5512681603431702
4574,0.05,1743488,39168,381,34.65,925.72,,,105842,0.0001,0.03158557042479515
4575,0.05,1743688,39172,381,34.65,925.72,,,105855,0.0001,0.03557770326733589
4575,0.05,1743856,39176,381,34.63,926.5,,,105865,0.0001,0.09671096503734589
4576,0.05,1744052,39180,381,34.56,924.74,,,105878,0.0001,0.3353903889656067
4576,0.05,1744220,39184,381,34.63,925.35,,,105888,0.0001,0.37715256214141846
4577,0.05,1744444,39188,381,34.61,924.71,,,105902,0.0001,0.06622670590877533
4578,0.05,1744736,39192,381,34.7,925.18,,,105920,0.0001,0.27461525797843933
4578,0.05,1744960,39196,381,34.7,925.18,,,105934,0.0001,0.04859237000346184
4579,0.05,1745288,39200,381,34.65,923.94,,,105955,0.0001,0.2732250690460205
4580,0.05,1745496,39204,381,34.71,926.33,,,105968,0.0001,0.16259801387786865
4580,0.05,1745720,39208,381,34.71,926.33,,,105982,0.0001,0.2645934224128723
4581,0.05,1745992,39212,381,34.68,928.63,,,105999,0.0001,0.016076374799013138
4582,0.05,1746232,39216,381,34.76,929.11,,,106014,0.0001,0.09841037541627884
4582,0.05,1746340,39220,381,34.76,929.11,,,106021,0.0001,0.3693088889122009
4582,0.05,1746548,39224,381,34.83,928.9,,,106034,0.0001,0.025929328054189682
4583,0.05,1746752,39228,381,34.81,928.43,,,106046,0.0001,0.25720521807670593
4583,0.05,1746844,39232,381,34.71,927.25,,,106052,0.0001,0.020072711631655693
4584,0.05,1747000,39236,381,34.71,927.25,,,106062,0.0001,0.3048752546310425
4584,0.05,1747244,39240,381,34.78,924.7,,,106077,0.0001,0.5201278924942017
