train/n_updates,time/time_elapsed,train/learning_rate,train/explained_variance,train/entropy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/policy_loss,train/value_loss,time/total_timesteps,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
892499,77595,0.0007,0.9979546861723065,-1.3722505569458008,892500,2866.2,920,0.07595445215702057,0.11940629780292511,71400000,1202.84,,
892599,77602,0.0007,0.820777639746666,-1.2815958261489868,892600,2845.2,920,-0.04684976860880852,17.343856811523438,71408000,1193.24,,
892699,77611,0.0007,0.9850351056084037,-1.490295648574829,892700,2903.1,920,-0.42488938570022583,1.5595239400863647,71416000,1206.64,,
892799,77619,0.0007,0.9991382578155026,-1.3553252220153809,892800,3011.0,920,-0.027571415528655052,0.08072905987501144,71424000,1248.08,,
892899,77626,0.0007,0.9998327508219518,-1.4867572784423828,892900,3014.7,920,-0.006868240423500538,0.020044710487127304,71432000,1257.98,,
892999,77634,0.0007,0.9990967003977858,-1.5361785888671875,893000,3004.9,920,0.04290412366390228,0.10301214456558228,71440000,1261.66,,
893099,77642,0.0007,0.9992561371182092,-1.437666893005371,893100,3071.1,920,0.06683821231126785,0.09469223022460938,71448000,1278.56,,
893199,77650,0.0007,0.9866286069154739,-1.54672110080719,893200,3123.7,920,0.47768327593803406,1.7746855020523071,71456000,1288.78,,
893299,77658,0.0007,0.9983383670914918,-1.4163932800292969,893300,3072.4,920,-0.13464251160621643,0.18566015362739563,71464000,1275.92,,
893399,77667,0.0007,0.8429101407527924,-1.2845388650894165,893400,3072.2,920,-0.07080958783626556,15.773114204406738,71472000,1278.52,,
893499,77675,0.0007,0.9952820674516261,-1.3035188913345337,893500,3051.7,920,0.2608973979949951,0.4242454171180725,71480000,1276.14,,
893599,77683,0.0007,0.7429849803447723,-1.3940207958221436,893600,3053.7,920,1.4821804761886597,22.498632431030273,71488000,1274.1,,
893699,77690,0.0007,0.9992215536767617,-1.1758126020431519,893700,3037.0,920,-0.01169096864759922,0.08537910133600235,71496000,1266.46,,
893799,77698,0.0007,0.9997834868117934,-1.4906357526779175,893800,3052.2,920,-0.021929312497377396,0.028206152841448784,71504000,1273.84,,
893899,77707,0.0007,0.9996036771044601,-1.2623459100723267,893900,3091.5,920,-0.12895530462265015,0.0403098464012146,71512000,1288.66,,
893999,,0.0007,0.9986139674438164,-1.3455568552017212,,,,0.017664780840277672,0.12332289665937424,71520000,,4142.0,1722.6
,77723,,,,894000,3114.2,920,,,71520000,1297.48,,
894099,77731,0.0007,0.9900140771642327,-1.3756403923034668,894100,3133.6,920,-0.30665600299835205,1.178809642791748,71528000,1304.02,,
894199,77739,0.0007,0.9845690773800015,-1.4421448707580566,894200,3134.5,920,0.17751872539520264,1.3952381610870361,71536000,1297.44,,
894299,77747,0.0007,0.99706826871261,-1.5165770053863525,894300,3118.8,920,-0.33928701281547546,0.28034257888793945,71544000,1301.3,,
894399,77756,0.0007,0.9987683398649096,-1.4540746212005615,894400,3051.2,920,0.0226584579795599,0.10663124173879623,71552000,1271.84,,
894499,77764,0.0007,0.9969034711830318,-1.50276780128479,894500,3045.7,920,0.21808090806007385,0.26530131697654724,71560000,1260.86,,
894599,77772,0.0007,0.9979678255040199,-1.3839770555496216,894600,3035.7,920,0.02778601460158825,0.16397570073604584,71568000,1254.5,,
894699,77779,0.0007,0.9993919040425681,-1.274928092956543,894700,2933.1,920,-0.12766610085964203,0.08833188563585281,71576000,1217.38,,
894799,77787,0.0007,0.9967139076907188,-1.363476037979126,894800,2993.9,920,0.00782702025026083,0.28085625171661377,71584000,1246.4,,
894899,77795,0.0007,0.9988388519268483,-1.1167396306991577,894900,2987.6,920,0.05598261579871178,0.11800850927829742,71592000,1238.96,,
894999,77804,0.0007,0.9965536943636835,-1.5225095748901367,895000,3005.5,920,0.346088171005249,0.2888592779636383,71600000,1236.36,,
895099,77812,0.0007,0.9983157608658075,-1.6257323026657104,895100,3007.5,920,-0.07063733786344528,0.17534255981445312,71608000,1229.14,,
895199,77820,0.0007,0.8994439616799355,-1.1661008596420288,895200,2938.4,920,-0.020643675699830055,9.8935546875,71616000,1207.12,,
895299,77828,0.0007,0.9799155835062265,-1.2949199676513672,895300,2958.1,920,0.3517436981201172,1.6340792179107666,71624000,1211.04,,
895399,77837,0.0007,0.9994786672177725,-1.3241099119186401,895400,2922.3,920,-0.0936078429222107,0.0659070760011673,71632000,1193.9,,
895499,77845,0.0007,0.9933452643454075,-1.450051188468933,895500,2917.2,920,-0.1050422340631485,0.702387273311615,71640000,1197.62,,
895599,77853,0.0007,0.9980640449794009,-1.2648292779922485,895600,2896.1,920,-0.27036675810813904,0.2613453269004822,71648000,1204.2,,
895699,77862,0.0007,0.9888493986800313,-1.330865740776062,895700,2853.4,920,-0.2003800868988037,0.6679044961929321,71656000,1188.8,,
895799,77870,0.0007,0.9995846337697003,-1.3212116956710815,895800,2811.2,920,-0.05434845760464668,0.05002531409263611,71664000,1169.82,,
895899,77878,0.0007,0.9997384065354709,-1.3702623844146729,895900,2821.0,920,0.07997221499681473,0.031358834356069565,71672000,1172.16,,
895999,,0.0007,0.9934632335789502,-1.2190990447998047,,,,0.20151309669017792,0.34559914469718933,71680000,,3456.0,1344.2
,77898,,,,896000,2819.2,920,,,71680000,1169.32,,
896099,77906,0.0007,0.996200408320874,-1.312252402305603,896100,2819.2,920,-0.11545218527317047,0.4281139373779297,71688000,1169.32,,
896199,77914,0.0007,0.9984275929164141,-1.2793740034103394,896200,2925.2,920,-0.0008275812724605203,0.162328839302063,71696000,1216.44,,
896299,77923,0.0007,0.9983945251442492,-1.3221641778945923,896300,3014.6,920,0.14604684710502625,0.10326748341321945,71704000,1258.32,,
896399,77931,0.0007,0.9988909009844065,-1.3379043340682983,896400,2970.7,920,-0.005020418670028448,0.12316756695508957,71712000,1245.6,,
896499,77939,0.0007,0.9917984576895833,-1.4016729593276978,896500,3003.0,920,-0.22946368157863617,0.6445252299308777,71720000,1255.0,,
896599,77947,0.0007,0.9983783452771604,-1.3065916299819946,896600,2938.5,920,0.17737635970115662,0.17907339334487915,71728000,1245.56,,
896699,77955,0.0007,0.9983379112090915,-1.184432864189148,896700,2911.3,920,0.06848648935556412,0.16013722121715546,71736000,1233.12,,
896799,77964,0.0007,0.998670591856353,-1.3395122289657593,896800,2919.8,920,0.024338290095329285,0.0757090151309967,71744000,1242.82,,
896899,77972,0.0007,0.9987919793929905,-1.4193278551101685,896900,2987.7,920,-0.00961874146014452,0.10800646990537643,71752000,1262.02,,
896999,77980,0.0007,0.9990832161274739,-1.2525972127914429,897000,2986.2,920,-0.016128186136484146,0.0981018990278244,71760000,1264.46,,
897099,77988,0.0007,0.9995844640070572,-1.3393954038619995,897100,2910.3,920,0.03198501095175743,0.04731021448969841,71768000,1243.12,,
897199,77997,0.0007,0.9963104294147342,-1.4480828046798706,897200,2953.5,920,-0.5129822492599487,0.5265304446220398,71776000,1260.9,,
897299,78005,0.0007,0.9950998802669346,-1.3664920330047607,897300,2934.9,920,-0.27464184165000916,0.6010360717773438,71784000,1252.36,,
