train/explained_variance,train/n_updates,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_loss,train/value_loss,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.8550935089588165,14199,1200,1136000,14200,659.58,-0.0036526531912386417,0.15637899935245514,0.0007,-1.674928069114685,940.7,946,,
0.9203524962067604,14299,1208,1144000,14300,675.04,0.07338263839483261,0.1363757848739624,0.0007,-1.6724344491958618,953.3,946,,
0.9044053852558136,14399,1216,1152000,14400,689.52,-0.09114372730255127,0.06488598883152008,0.0007,-1.6624864339828491,981.1,946,,
0.9559809826314449,14499,1224,1160000,14500,684.96,0.16886143386363983,0.10118267685174942,0.0007,-1.6122047901153564,970.4,947,,
0.9495056085288525,14599,1231,1168000,14600,668.44,-0.011773628182709217,0.08686794340610504,0.0007,-1.4292622804641724,951.3,948,,
0.9200437813997269,14699,1239,1176000,14700,674.04,-0.018802063539624214,0.13827185332775116,0.0007,-1.4457415342330933,945.3,948,,
0.9205932021141052,14799,1248,1184000,14800,679.66,0.0316326878964901,0.1339702010154724,0.0007,-1.6292308568954468,958.0,948,,
0.9394745267927647,14899,1255,1192000,14900,705.28,0.03182186186313629,0.10590541362762451,0.0007,-1.65556800365448,987.0,949,,
0.9735733177512884,14999,1263,1200000,15000,708.72,-0.1125355139374733,0.0324421152472496,0.0007,-1.6367939710617065,987.1,949,,
0.9930859026499093,15099,1271,1208000,15100,733.46,-0.06114927679300308,0.01016999315470457,0.0007,-1.6543982028961182,1009.2,949,,
0.9715845324099064,15199,1280,1216000,15200,747.0,0.028154266998171806,0.08917596191167831,0.0007,-1.45797860622406,1020.5,949,,
0.9397388957440853,15299,1287,1224000,15300,755.6,-0.12297224998474121,0.11950504779815674,0.0007,-1.4924402236938477,1040.4,950,,
0.9718742500990629,15399,1295,1232000,15400,747.22,-0.16562841832637787,0.046888649463653564,0.0007,-1.6689869165420532,1037.7,950,,
0.9326126053929329,15499,1304,1240000,15500,754.08,0.09069617837667465,0.09903215616941452,0.0007,-1.6438239812850952,1053.7,950,,
0.9537884294986725,15599,1312,1248000,15600,771.74,-0.016177108511328697,0.08254734426736832,0.0007,-1.5796198844909668,1060.0,950,,
0.968111377209425,15699,1319,1256000,15700,766.06,-0.005622250027954578,0.08481667190790176,0.0007,-1.570979356765747,1068.3,952,,
0.9757119696587324,15799,1327,1264000,15800,775.6,-0.021845126524567604,0.05700700357556343,0.0007,-1.5255944728851318,1071.2,952,,
0.7144574224948883,15899,1335,1272000,15900,788.64,-0.38912340998649597,0.4972294270992279,0.0007,-1.6326007843017578,1083.4,952,,
0.9918436137959361,15999,,1280000,,,-0.043912798166275024,0.016398487612605095,0.0007,-1.5943158864974976,,,887.0,1096.0
,,1360,1280000,16000,782.14,,,,,1071.6,940,,
0.961874894797802,16099,1368,1288000,16100,780.76,0.08723845332860947,0.04979310557246208,0.0007,-1.6349369287490845,1079.7,940,,
0.9129891023039818,16199,1376,1296000,16200,805.8,0.05201928690075874,0.10003124922513962,0.0007,-1.4983584880828857,1078.8,941,,
0.9564847275614738,16299,1383,1304000,16300,809.18,0.017616819590330124,0.07167303562164307,0.0007,-1.5329471826553345,1071.2,942,,
0.9599796533584595,16399,1392,1312000,16400,798.72,-0.1126251220703125,0.0473538339138031,0.0007,-1.5217869281768799,1065.1,942,,
0.8763072341680527,16499,1400,1320000,16500,790.56,-0.08333086222410202,0.15081173181533813,0.0007,-1.531676173210144,1061.1,942,,
0.8648443520069122,16599,1407,1328000,16600,775.34,-0.1074393168091774,0.2089129537343979,0.0007,-1.5845569372177124,1051.9,943,,
0.9382326751947403,16699,1415,1336000,16700,766.7,0.004096904303878546,0.11409232765436172,0.0007,-1.4123977422714233,1023.3,943,,
0.9847402255982161,16799,1424,1344000,16800,751.62,-0.023889005184173584,0.025983614847064018,0.0007,-1.5650360584259033,1009.0,943,,
0.9468414895236492,16899,1432,1352000,16900,748.76,0.03993663936853409,0.08208395540714264,0.0007,-1.5548478364944458,1012.6,943,,
0.9477551616728306,16999,1439,1360000,17000,727.48,-0.032564785331487656,0.12089001387357712,0.0007,-1.4096277952194214,1011.1,944,,
0.9544232897460461,17099,1448,1368000,17100,713.7,-0.0335974358022213,0.1062297374010086,0.0007,-1.3989996910095215,1009.5,944,,
0.941142987459898,17199,1456,1376000,17200,713.82,-0.007154751103371382,0.11867525428533554,0.0007,-1.588529348373413,1012.9,944,,
0.9831349067389965,17299,1464,1384000,17300,729.8,-0.07988829165697098,0.029263412579894066,0.0007,-1.5697637796401978,1029.4,945,,
0.9350296184420586,17399,1471,1392000,17400,742.84,0.08322471380233765,0.2392270416021347,0.0007,-1.5375715494155884,1042.5,945,,
0.9394940212368965,17499,1480,1400000,17500,758.34,-0.08245574682950974,0.1358305960893631,0.0007,-1.5161529779434204,1070.9,945,,
0.9835661444813013,17599,1488,1408000,17600,763.7,-0.10486461222171783,0.028714001178741455,0.0007,-1.613700270652771,1081.9,945,,
0.87161485850811,17699,1495,1416000,17700,764.26,0.06328056007623672,0.21657846868038177,0.0007,-1.514776587486267,1079.8,946,,
0.9470646306872368,17799,1503,1424000,17800,772.52,-0.05920794606208801,0.06249028071761131,0.0007,-1.489119529724121,1099.0,947,,
0.9581195525825024,17899,1511,1432000,17900,797.02,-0.050886522978544235,0.0976974219083786,0.0007,-1.4382232427597046,1125.4,947,,
