time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
3370,1085.87,104,851968,252,106.99,0.7191262245178223,0.0003,-0.5411122058983893,-0.04449697284508147,0.17131943,0.2,0.38387451171875,0.35929620265960693,1.1326629372197203,1030,,
3401,1094.91,105,860160,252,109.66,0.7367648184299469,0.0003,-0.5461943718837574,-0.04570093550210004,0.15897992,0.2,0.36859130859375,0.6519210338592529,1.241619303263724,1040,,
3432,1082.17,106,868352,252,104.94,0.7937955558300018,0.0003,-0.546966465213336,-0.04652861180511536,0.1629487,0.2,0.3698486328125,0.206762433052063,1.0284781785099768,1050,,
3463,1082.66,107,876544,253,102.03,0.6967961192131042,0.0003,-0.5650296694599092,-0.04864184411453607,0.16530111,0.2,0.38968505859375,0.47457975149154663,1.4709387378068641,1060,,
,,,880000,,,0.6701181530952454,0.0003,-0.5590218362864107,-0.04452830047739553,0.16291606,0.2,0.38804931640625,0.1832941770553589,1.5216299104969948,1070,1208.6,145.0
3498,1105.28,108,884736,252,98.81,,,,,,,,,,,,
3528,1114.71,109,892928,253,94.56,0.687663197517395,0.0003,-0.5648453260539099,-0.04244062534453406,0.17622969,0.2,0.39315185546875,0.16296301782131195,1.3280892496171872,1080,,
3558,1124.08,110,901120,253,90.97,0.5936875343322754,0.0003,-0.5703696836717427,-0.03999812665933859,0.23409733,0.2,0.40638427734375,0.05101184546947479,1.366409497091081,1090,,
3588,1166.25,111,909312,253,94.25,0.6280003190040588,0.0003,-0.5628854695707559,-0.04370965145790251,0.16946703,0.2,0.389404296875,0.4516777992248535,1.2658418143517338,1100,,
3619,1171.59,112,917504,253,98.65,0.6541805565357208,0.0003,-0.5495980276726187,-0.045383770379339695,0.18788609,0.2,0.3935791015625,0.1500164121389389,1.285414016211871,1110,,
,,,920000,,,0.7086889147758484,0.0003,-0.5314993063919247,-0.04203640186606208,0.1646833,0.2,0.3660400390625,0.5477096438407898,1.2006607203627937,1120,1254.8,103.8
3653,1180.18,113,925696,253,103.0,,,,,,,,,,,,
3684,1155.26,114,933888,253,106.15,0.7124360203742981,0.0003,-0.5341368563706055,-0.04375821037574497,0.15980445,0.2,0.3658203125,0.18313467502593994,1.2235748214297928,1130,,
3715,1133.04,115,942080,253,107.23,0.7150922417640686,0.0003,-0.5360055768396705,-0.04294632714954787,0.15907475,0.2,0.36925048828125,0.15963120758533478,1.1745230729342437,1140,,
3746,1111.59,116,950272,253,111.04,0.7369705140590668,0.0003,-0.5287642775103449,-0.04587465221775346,0.18907207,0.2,0.38546142578125,0.470727801322937,1.2211037433589809,1150,,
3777,1127.54,117,958464,253,113.1,0.7554618716239929,0.0003,-0.515865906723775,-0.04497888693585992,0.1766029,0.2,0.364013671875,0.05481395125389099,1.0877386275562457,1160,,
,,,960000,,,0.6659343838691711,0.0003,-0.4963482088642195,-0.039998239331907826,0.16833624,0.2,0.36407470703125,0.21328915655612946,1.503394266415853,1170,1412.2,142.6
3815,1161.55,118,966656,253,117.6,,,,,,,,,,,,
3847,1173.99,119,974848,253,119.81,0.7683418989181519,0.0003,-0.5245955200167373,-0.04345413246992393,0.1867672,0.2,0.3814453125,0.6092755198478699,0.9585882685671094,1180,,
3877,1188.46,120,983040,253,123.58,0.7595983594655991,0.0003,-0.512872914946638,-0.04447470915001759,0.17500341,0.2,0.362353515625,0.2119472324848175,1.0906194549868815,1190,,
3908,1167.26,121,991232,253,121.39,0.7938567250967026,0.0003,-0.5064970149658621,-0.04515679226824432,0.178361,0.2,0.36300048828125,0.24539047479629517,0.899824542744318,1200,,
3941,1147.51,122,999424,253,115.92,0.7695125490427017,0.0003,-0.48054206238593905,-0.03820296042467817,0.16120212,0.2,0.34605712890625,0.7012439966201782,1.3523370806826278,1210,,
,,,1000000,,,0.731337159872055,0.0003,-0.48851863923482597,-0.04143702324654441,0.17042513,0.2,0.3630126953125,0.12152761220932007,1.3018946276977659,1220,1025.8,92.0
3977,1131.13,123,1007616,253,109.03,,,,,,,,,,,,
4007,1161.11,124,1015808,253,106.66,0.7049297094345093,0.0003,-0.4789410287281498,-0.03736929212936957,0.16878107,0.2,0.3493408203125,0.17392617464065552,1.4559966812725178,1230,,
4041,1193.97,125,1024000,253,106.2,0.7401143908500671,0.0003,-0.4865967761259526,-0.03867580186124542,0.18733841,0.2,0.35758056640625,0.2771241366863251,1.2080990472924895,1240,,
4074,1214.64,126,1032192,253,106.7,0.7262216210365295,0.0003,-0.5008985691471025,-0.042751376056548905,0.17145956,0.2,0.36761474609375,0.4431784152984619,1.0725342799792998,1250,,
,,,1040000,,,0.7744223028421402,0.0003,-0.4899568598717451,-0.040853268633509285,0.1825867,0.2,0.3613037109375,0.07566128671169281,1.0827733908838126,1260,1198.8,107.6
4109,1201.9,127,1040384,253,108.17,,,,,,,,,,,,
4142,1167.29,128,1048576,253,102.45,0.7683962434530258,0.0003,-0.4831343336729333,-0.03905808410781901,0.18593192,0.2,0.35601806640625,0.1738065779209137,1.1904300805879757,1270,,
4174,1175.06,129,1056768,253,99.69,0.7043537497520447,0.0003,-0.4933922931784764,-0.04073544469065382,0.19948918,0.2,0.36968994140625,0.027306266129016876,1.316898639698047,1280,,
4205,1177.62,130,1064960,253,107.47,0.7345285713672638,0.0003,-0.4885146023472771,-0.04226716381454025,0.18695457,0.2,0.36497802734375,0.10601018369197845,1.087862652988406,1290,,
4236,1200.48,131,1073152,253,108.77,0.7758675217628479,0.0003,-0.4642403838923201,-0.03872561341922846,0.2088695,0.2,0.35850830078125,0.20551350712776184,1.0138302014907823,1300,,
,,,1080000,,,0.6622655093669891,0.0003,-0.46032963041216135,-0.03612545419528033,0.15562561,0.2,0.34267578125,0.6066703796386719,1.6365490153897553,1310,1137.6,100.6
4269,1193.79,132,1081344,253,111.04,,,,,,,,,,,,
4300,1230.06,133,1089536,253,110.33,0.7040770947933197,0.0003,-0.45184214008040724,-0.03843197792812134,0.18327573,0.2,0.344580078125,0.40284284949302673,1.2327573717222549,1320,,
4330,1243.18,134,1097728,253,102.68,0.7148047089576721,0.0003,-0.44048447015229614,-0.032690464626648465,0.16763663,0.2,0.33404541015625,0.12704649567604065,1.5083748888457194,1330,,
4361,1228.39,135,1105920,253,103.45,0.5764557719230652,0.0003,-0.47457806731108576,-0.030603350369347027,0.17143649,0.2,0.36031494140625,0.3353077471256256,1.8441023870720528,1340,,
