rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
1099.01,2975,83.04,835584,102,280,1010,-0.04564515038873651,0.7854520380496979,0.15526325,0.0003,0.2,0.20760484039783478,0.33985595703125,-0.5000205737771466,0.9588828492094763,,
,,,840000,,,1020,-0.04634050270251464,0.8058437258005142,0.14161101,0.0003,0.2,0.21607545018196106,0.34678955078125,-0.5023686109343544,0.9899576219264418,1185.2,95.8
1138.48,3006,87.95,843776,103,280,,,,,,,,,,,,
1167.2,3035,92.23,851968,104,280,1030,-0.04338334425629,0.795904278755188,0.14467797,0.0003,0.2,0.17679144442081451,0.3337890625,-0.4840732442447916,0.9287786550121382,,
1201.16,3065,97.66,860160,105,280,1040,-0.04478268929160549,0.7597120553255081,0.13666612,0.0003,0.2,0.33686381578445435,0.3522216796875,-0.5154290423961356,1.018705426948145,,
1221.04,3093,99.75,868352,106,280,1050,-0.043049218592204855,0.7260006368160248,0.1503008,0.0003,0.2,0.1525609791278839,0.33916015625,-0.5056740726809948,1.0718294590478763,,
1208.58,3120,98.57,876544,107,280,1060,-0.04514462363295024,0.6781841516494751,0.14894557,0.0003,0.2,-0.033005569130182266,0.352880859375,-0.5298706721747294,1.2147111625934486,,
,,,880000,,,1070,-0.043840650737547546,0.7497540712356567,0.13889237,0.0003,0.2,0.08129644393920898,0.3361328125,-0.5011696831090375,1.0627097608463374,1297.0,120.8
1200.33,3153,100.12,884736,108,280,,,,,,,,,,,,
1187.66,3181,102.86,892928,109,280,1080,-0.04142524471753859,0.7607476860284805,0.12891763,0.0003,0.2,0.0904112160205841,0.34654541015625,-0.5344218690413982,1.116803385608364,,
1136.94,3210,101.7,901120,110,280,1090,-0.04618474426461035,0.7913995385169983,0.14497206,0.0003,0.2,0.08598093688488007,0.35885009765625,-0.5358816720079631,1.0208424147684128,,
1130.24,3239,99.35,909312,111,280,1100,-0.042549687807331794,0.8138134479522705,0.12567171,0.0003,0.2,0.2994172275066376,0.33714599609375,-0.5379845850169659,1.1572531705372966,,
1143.31,3269,100.37,917504,112,280,1110,-0.0461431895622809,0.8008120059967041,0.1496906,0.0003,0.2,0.16866162419319153,0.33731689453125,-0.5111810509348288,1.161199345078785,,
,,,920000,,,1120,-0.04464804042145261,0.824384793639183,0.14626107,0.0003,0.2,-2.5704503059387207e-06,0.364697265625,-0.537696034531109,0.6924626525607891,1318.6,137.0
1132.84,3302,98.35,925696,113,280,,,,,,,,,,,,
1134.21,3329,98.74,933888,114,280,1130,-0.045265013328025815,0.77192322909832,0.15478417,0.0003,0.2,0.01493959128856659,0.35142822265625,-0.5325422156834975,0.9367245898582042,,
1137.32,3359,95.44,942080,115,280,1140,-0.04026200495718513,0.7801571786403656,0.12392901,0.0003,0.2,0.11184827238321304,0.328515625,-0.5198793254559859,1.0567544006276877,,
1147.46,3389,98.28,950272,116,280,1150,-0.04249743152031442,0.7583862245082855,0.15432775,0.0003,0.2,0.2261720597743988,0.3551513671875,-0.5259167819749564,1.0425501899793743,,
1168.03,3419,100.3,958464,117,280,1160,-0.04297176732034132,0.813849151134491,0.13524778,0.0003,0.2,0.09521622955799103,0.33680419921875,-0.5202955442946404,0.791243342141388,,
