time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/loss
6993,2671388,64492,381,0.01,100.72,1020.8,,,160711,0.0001,0.0845930278301239
6993,2671612,64496,381,0.01,100.37,1021.0,,,160725,0.0001,0.50520259141922
6994,2671952,64500,381,0.01,100.39,1022.17,,,160746,0.0001,0.12706199288368225
6995,2672072,64504,381,0.01,101.59,1027.1,,,160754,0.0001,0.2000335454940796
6995,2672460,64508,381,0.01,101.59,1027.1,,,160778,0.0001,0.05291985720396042
6996,2672756,64512,381,0.01,101.19,1027.49,,,160797,0.0001,0.24516582489013672
6997,2672876,64516,381,0.01,101.46,1022.71,,,160804,0.0001,0.7141499519348145
6997,2673036,64520,381,0.01,101.37,1025.55,,,160814,0.0001,0.2085820436477661
6998,2673412,64524,381,0.01,100.8,1023.78,,,160838,0.0001,0.08234047144651413
6999,2673660,64528,381,0.01,100.8,1023.78,,,160853,0.0001,0.13894571363925934
6999,2673800,64532,381,0.01,100.28,1018.69,,,160862,0.0001,0.4558236300945282
7000,2674132,64536,381,0.01,100.28,1018.69,,,160883,0.0001,0.35191968083381653
7000,2674260,64540,381,0.01,100.32,1017.85,,,160891,0.0001,0.25290581583976746
7001,2674540,64544,381,0.01,99.86,1018.55,,,160908,0.0001,0.30991411209106445
7001,2674644,64548,381,0.01,99.67,1022.38,,,160915,0.0001,0.056548863649368286
7002,2674948,64552,381,0.01,99.99,1021.05,,,160934,0.0001,0.19240349531173706
7003,2675140,64556,381,0.01,99.32,1021.39,,,160946,0.0001,0.06783992052078247
7003,2675256,64560,381,0.01,99.31,1017.57,,,160953,0.0001,0.4053100347518921
7004,2675684,64564,382,0.01,98.14,1009.83,,,160980,0.0001,0.3888016939163208
7004,2675760,64568,382,0.01,98.14,1009.83,,,160984,0.0001,0.06032669544219971
7004,2675916,64572,382,0.01,97.68,1006.24,,,160994,0.0001,0.32997438311576843
7005,2676072,64576,382,0.01,97.68,1006.24,,,161004,0.0001,0.3838167190551758
7006,2676412,64580,382,0.01,97.45,997.36,,,161025,0.0001,0.23834839463233948
7006,2676740,64584,382,0.01,97.41,994.97,,,161046,0.0001,0.2763214111328125
