time/fps,rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
671,0.01,5119284,52772,7619,466.22,41.48,,,313705,0.0001,0.07059529423713684
671,0.01,5119476,52776,7619,465.25,41.45,,,313717,0.0001,0.01716379076242447
,0.01,5120000,,,,,44.6,655.0,313749,0.0001,0.011801434680819511
671,0.01,5120080,52780,7625,467.28,41.61,,,313754,0.0001,0.02082030102610588
671,0.01,5120628,52784,7626,467.28,41.61,,,313789,0.0001,0.015584705397486687
671,0.01,5120844,52788,7626,467.28,41.61,,,313802,0.0001,0.05439655855298042
671,0.01,5121408,52792,7627,465.98,41.52,,,313837,0.0001,0.01395462080836296
671,0.01,5122196,52796,7628,467.8,41.58,,,313887,0.0001,0.013037381693720818
671,0.01,5122760,52800,7629,469.06,41.64,,,313922,0.0001,0.039430759847164154
671,0.01,5123384,52804,7630,469.06,41.64,,,313961,0.0001,0.024799823760986328
671,0.01,5123804,52808,7630,471.41,41.69,,,313987,0.0001,0.022436492145061493
671,0.01,5124476,52812,7631,473.59,41.86,,,314029,0.0001,0.02524474263191223
671,0.01,5124872,52816,7632,473.59,41.86,,,314054,0.0001,0.026192421093583107
671,0.01,5125260,52820,7632,474.98,41.86,,,314078,0.0001,0.01586991548538208
671,0.01,5125896,52824,7633,474.98,41.86,,,314118,0.0001,0.0595158226788044
671,0.01,5126500,52828,7634,476.66,41.78,,,314156,0.0001,0.07564772665500641
671,0.01,5127172,52832,7635,475.62,41.73,,,314198,0.0001,0.009235856123268604
671,0.01,5127548,52836,7636,478.6,41.84,,,314221,0.0001,0.09425143897533417
671,0.01,5128144,52840,7636,478.6,41.84,,,314258,0.0001,0.012276488356292248
671,0.01,5128348,52844,7637,480.03,41.83,,,314271,0.0001,0.02385811135172844
671,0.01,5128908,52848,7638,482.63,41.9,,,314306,0.0001,0.022528188303112984
671,0.01,5129336,52852,7638,481.79,42.07,,,314333,0.0001,0.06863108277320862
671,0.01,5129620,52856,7639,481.79,42.07,,,314351,0.0001,0.09227557480335236
671,0.01,5130060,52860,7639,481.18,42.05,,,314378,0.0001,0.045301586389541626
671,0.01,5130704,52864,7640,481.43,42.2,,,314418,0.0001,0.10399894416332245
671,0.01,5131196,52868,7641,481.43,42.2,,,314449,0.0001,0.018565509468317032
671,0.01,5131604,52872,7641,480.46,41.97,,,314475,0.0001,0.020706940442323685
671,0.01,5132228,52876,7642,480.46,41.97,,,314514,0.0001,0.020181478932499886
671,0.01,5132416,52880,7642,480.46,41.97,,,314525,0.0001,0.05373094230890274
671,0.01,5132828,52884,7643,478.12,41.87,,,314551,0.0001,0.044691551476716995
671,0.01,5133400,52888,7644,476.76,41.9,,,314587,0.0001,0.013927353546023369
671,0.01,5133900,52892,7644,478.34,41.97,,,314618,0.0001,0.014660987071692944
671,0.01,5134276,52896,7645,478.34,41.97,,,314642,0.0001,0.016584722325205803
671,0.01,5134588,52900,7645,478.05,42.08,,,314661,0.0001,0.010019061155617237
671,0.01,5135020,52904,7646,470.12,41.81,,,314688,0.0001,0.032044969499111176
671,0.01,5135452,52908,7647,470.12,41.81,,,314715,0.0001,0.016342397779226303
671,0.01,5135796,52912,7647,470.12,41.81,,,314737,0.0001,0.20014475286006927
671,0.01,5136440,52916,7648,467.99,41.71,,,314777,0.0001,0.011550412513315678
671,0.01,5136748,52920,7648,466.33,41.57,,,314796,0.0001,0.050840217620134354
671,0.01,5137292,52924,7649,466.33,41.57,,,314830,0.0001,0.014285283163189888
671,0.01,5137704,52928,7650,468.42,41.38,,,314856,0.0001,0.029698729515075684
671,0.01,5138440,52932,7651,468.42,41.38,,,314902,0.0001,0.202077716588974
671,0.01,5138864,52936,7651,470.18,41.46,,,314928,0.0001,0.05518234521150589
671,0.01,5140140,52940,7653,472.88,41.52,,,315008,0.0001,0.24224558472633362
671,0.01,5141056,52944,7654,474.9,41.46,,,315065,0.0001,0.06170560047030449
671,0.01,5141680,52948,7655,479.88,41.58,,,315104,0.0001,0.01819673925638199
671,0.01,5142080,52952,7656,479.88,41.58,,,315129,0.0001,0.042738161981105804
671,0.01,5142572,52956,7656,483.14,41.48,,,315160,0.0001,0.01752803474664688
671,0.01,5142920,52960,7657,483.5,41.43,,,315182,0.0001,0.01412293128669262
671,0.01,5143452,52964,7658,487.86,41.4,,,315215,0.0001,0.018304545432329178
671,0.01,5144192,52968,7659,486.88,41.36,,,315261,0.0001,0.03955266252160072
671,0.01,5144544,52972,7659,486.78,41.31,,,315283,0.0001,0.027634207159280777
671,0.01,5144872,52976,7659,486.78,41.31,,,315304,0.0001,0.03940627723932266
671,0.01,5145252,52980,7660,490.02,41.46,,,315328,0.0001,0.11484953761100769
671,0.01,5145812,52984,7661,491.2,41.47,,,315363,0.0001,0.19948989152908325
671,0.01,5146200,52988,7661,490.75,41.47,,,315387,0.0001,0.21835093200206757
671,0.01,5146580,52992,7662,490.75,41.47,,,315411,0.0001,0.011358506977558136
671,0.01,5147028,52996,7662,489.96,41.51,,,315439,0.0001,0.10037742555141449
671,0.01,5147408,53000,7663,491.45,41.42,,,315462,0.0001,0.01610836759209633
671,0.01,5147956,53004,7664,489.41,41.27,,,315497,0.0001,0.0181493628770113
671,0.01,5148308,53008,7664,489.41,41.27,,,315519,0.0001,0.021745502948760986
671,0.01,5148552,53012,7665,489.78,41.35,,,315534,0.0001,0.05527764558792114
671,0.01,5149024,53016,7665,488.6,41.06,,,315563,0.0001,0.00847113598138094
671,0.01,5149352,53020,7666,488.6,41.06,,,315584,0.0001,0.010169217362999916
671,0.01,5149672,53024,7666,488.6,41.06,,,315604,0.0001,0.02386396937072277
671,0.01,5150228,53028,7667,487.62,40.93,,,315639,0.0001,0.03401821479201317
671,0.01,5150568,53032,7667,487.36,41.02,,,315660,0.0001,0.027538787573575974
671,0.01,5151036,53036,7668,487.12,41.08,,,315689,0.0001,0.012020835652947426
671,0.01,5151492,53040,7669,487.12,41.08,,,315718,0.0001,0.016635704785585403
671,0.01,5152004,53044,7670,487.83,40.83,,,315750,0.0001,0.2263806313276291
671,0.01,5152480,53048,7670,489.44,40.54,,,315779,0.0001,0.020176773890852928
671,0.01,5153040,53052,7671,489.91,40.63,,,315814,0.0001,0.01155872642993927
671,0.01,5153388,53056,7671,489.91,40.63,,,315836,0.0001,0.1322130262851715
671,0.01,5153880,53060,7672,491.17,40.68,,,315867,0.0001,0.01922312192618847
671,0.01,5154332,53064,7673,492.53,40.68,,,315895,0.0001,0.04652266576886177
671,0.01,5154720,53068,7673,493.65,40.66,,,315919,0.0001,0.01897292584180832
671,0.01,5155020,53072,7674,493.65,40.66,,,315938,0.0001,0.013004438951611519
671,0.01,5155512,53076,7674,490.57,40.63,,,315969,0.0001,0.022342097014188766
671,0.01,5155880,53080,7675,490.86,40.65,,,315992,0.0001,0.03133178874850273
671,0.01,5156448,53084,7676,490.9,40.73,,,316027,0.0001,0.008897584863007069
671,0.01,5156776,53088,7676,490.9,40.73,,,316048,0.0001,0.018562909215688705
671,0.01,5157016,53092,7677,490.9,40.73,,,316063,0.0001,0.011746911332011223
671,0.01,5157420,53096,7677,490.37,40.77,,,316088,0.0001,0.18414287269115448
671,0.01,5157944,53100,7678,488.86,40.44,,,316121,0.0001,0.013150012120604515
671,0.01,5158280,53104,7678,488.86,40.44,,,316142,0.0001,0.013042584992945194
671,0.01,5158472,53108,7679,488.86,40.44,,,316154,0.0001,0.04042257368564606
671,0.01,5158904,53112,7679,488.49,40.46,,,316181,0.0001,0.12872153520584106
671,0.01,5159396,53116,7680,488.65,40.48,,,316212,0.0001,0.11492182314395905
671,0.01,5159872,53120,7681,488.65,40.48,,,316241,0.0001,0.0070219142362475395
,0.01,5160000,,,,,34.6,566.2,316249,0.0001,0.1731870174407959
671,0.01,5160320,53124,7684,488.65,40.48,,,316269,0.0001,0.011301783844828606
671,0.01,5160820,53128,7684,488.65,40.48,,,316301,0.0001,0.01877061277627945
671,0.01,5161264,53132,7685,488.87,40.37,,,316328,0.0001,0.015755679458379745
671,0.01,5161716,53136,7686,489.37,40.19,,,316357,0.0001,0.021544013172388077
671,0.01,5161972,53140,7686,488.99,40.2,,,316373,0.0001,0.04408259689807892
671,0.01,5162816,53144,7687,488.82,40.1,,,316425,0.0001,0.03244621306657791
671,0.01,5163360,53148,7688,488.82,40.1,,,316459,0.0001,0.04614551365375519
671,0.01,5163880,53152,7689,488.82,40.1,,,316492,0.0001,0.020640727132558823
671,0.01,5164544,53156,7689,488.38,40.12,,,316533,0.0001,0.04068692773580551
671,0.01,5164844,53160,7690,492.42,40.03,,,316552,0.0001,0.028116151690483093
671,0.01,5165296,53164,7691,492.42,40.03,,,316580,0.0001,0.013130229897797108
671,0.01,5165576,53168,7691,492.42,40.03,,,316598,0.0001,0.14975233376026154
671,0.01,5165836,53172,7691,492.46,40.05,,,316614,0.0001,0.012055588886141777
671,0.01,5166524,53176,7692,488.85,40.09,,,316657,0.0001,0.033301256597042084
671,0.01,5166752,53180,7693,488.85,40.09,,,316671,0.0001,0.06134812533855438
