time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,train/loss,train/learning_rate,train/n_updates
4795,36704,325,1561240,0.05,33.04,964.59,,,0.3130466043949127,0.0001,94452
4796,36708,325,1561488,0.05,32.91,962.9,,,0.32072439789772034,0.0001,94467
4797,36712,325,1561680,0.05,32.96,957.25,,,0.1814325898885727,0.0001,94479
4797,36716,325,1561896,0.05,32.96,957.25,,,0.05646738037467003,0.0001,94493
4798,36720,325,1562192,0.05,32.89,953.58,,,0.0975102037191391,0.0001,94511
4798,36724,325,1562400,0.05,32.88,954.25,,,0.19350391626358032,0.0001,94524
4799,36728,325,1562560,0.05,32.86,956.57,,,0.16776032745838165,0.0001,94534
4799,36732,325,1562768,0.05,32.8,956.14,,,0.11698803305625916,0.0001,94547
4800,36736,325,1563068,0.05,32.75,955.46,,,0.057895317673683167,0.0001,94566
4801,36740,325,1563204,0.05,32.75,955.46,,,0.2592118978500366,0.0001,94575
4801,36744,325,1563432,0.05,32.76,954.79,,,0.21143347024917603,0.0001,94589
4802,36748,325,1563596,0.05,32.76,957.18,,,0.05377776175737381,0.0001,94599
4803,36752,325,1563752,0.05,32.79,957.09,,,0.027594704180955887,0.0001,94609
4803,36756,325,1563968,0.05,32.79,957.09,,,0.12932436168193817,0.0001,94622
4804,36760,325,1564316,0.05,32.76,955.62,,,0.4616228938102722,0.0001,94644
4805,36764,325,1564552,0.05,32.73,953.08,,,0.05254112184047699,0.0001,94659
4806,36768,325,1564848,0.05,32.73,953.08,,,0.09946782886981964,0.0001,94677
4806,36772,325,1565012,0.05,32.7,948.08,,,0.05864391103386879,0.0001,94688
4807,36776,325,1565228,0.05,32.71,953.36,,,0.34457331895828247,0.0001,94701
4809,36780,325,1565632,0.05,32.7,953.81,,,0.11615908145904541,0.0001,94726
4809,36784,325,1565788,0.05,32.7,953.81,,,0.09051261842250824,0.0001,94736
4809,36788,325,1565972,0.05,32.7,953.81,,,0.49001914262771606,0.0001,94748
4810,36792,325,1566252,0.05,32.74,955.68,,,0.5283714532852173,0.0001,94765
4811,36796,325,1566432,0.05,32.9,963.27,,,0.33485811948776245,0.0001,94776
4812,36800,325,1566608,0.05,32.9,963.27,,,0.24796904623508453,0.0001,94787
4812,36804,325,1566832,0.05,32.89,959.78,,,0.2875218391418457,0.0001,94801
4813,36808,325,1567104,0.05,32.89,959.78,,,0.06431892514228821,0.0001,94818
4814,36812,325,1567344,0.05,32.8,951.55,,,0.022278353571891785,0.0001,94833
4815,36816,325,1567632,0.05,32.81,947.23,,,0.11328169703483582,0.0001,94851
4815,36820,325,1567832,0.05,32.81,947.23,,,0.16675560176372528,0.0001,94864
4816,36824,325,1568032,0.05,32.78,944.87,,,0.28570473194122314,0.0001,94876
4817,36828,325,1568324,0.05,32.79,942.16,,,0.19277551770210266,0.0001,94895
4817,36832,325,1568456,0.05,32.76,941.3,,,0.14233925938606262,0.0001,94903
4819,36836,325,1568788,0.05,32.78,945.82,,,0.05277843773365021,0.0001,94924
4819,36840,325,1569032,0.05,32.78,945.82,,,0.33398598432540894,0.0001,94939
4820,36844,325,1569216,0.05,32.68,944.28,,,0.4981107711791992,0.0001,94950
4820,36848,325,1569444,0.05,32.63,938.44,,,0.29722896218299866,0.0001,94965
4821,36852,325,1569604,0.05,32.58,937.57,,,0.1452351212501526,0.0001,94975
4822,36856,325,1569796,0.05,32.57,936.38,,,0.06253431737422943,0.0001,94987
4823,36860,325,1570096,0.05,32.57,936.16,,,0.17476339638233185,0.0001,95005
4824,36864,325,1570496,0.05,32.57,936.16,,,0.32911068201065063,0.0001,95030
4824,36868,325,1570604,0.05,32.56,937.95,,,0.17954619228839874,0.0001,95037
4825,36872,325,1570860,0.05,32.52,936.97,,,0.11158232390880585,0.0001,95053
4826,36876,325,1571280,0.05,32.48,946.05,,,0.32651007175445557,0.0001,95079
4826,36880,325,1571496,0.05,32.48,946.05,,,0.08434957265853882,0.0001,95093
4827,36884,325,1571668,0.05,32.48,946.05,,,0.034014925360679626,0.0001,95104
4828,36888,325,1572052,0.05,32.45,941.87,,,0.037269048392772675,0.0001,95128
4828,36892,325,1572280,0.05,32.43,943.36,,,0.16226524114608765,0.0001,95142
4828,36896,325,1572404,0.05,32.43,943.36,,,0.12682989239692688,0.0001,95150
4829,36900,325,1572732,0.05,32.43,943.36,,,0.05524268001317978,0.0001,95170
4830,36904,325,1573052,0.05,32.55,946.16,,,0.1732311248779297,0.0001,95190
4831,36908,325,1573276,0.05,32.62,949.15,,,0.05336546152830124,0.0001,95204
