time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/policy_loss,train/explained_variance,train/learning_rate,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
3112000,155600,9967,347.33,-0.0003105158102698624,155599,-3.6408853247849038e-06,0.9988807486370206,0.0007,1841.49,0.03627597168087959,312,,
3114000,155700,9973,347.38,-0.0043600150384008884,155699,-0.0004481441283132881,0.9711070712655783,0.0007,1837.73,0.1560746133327484,312,,
3116000,155800,9979,346.46,-0.0534525029361248,155799,-0.11272623389959335,0.15717005729675293,0.0007,1831.87,9.316019058227539,312,,
3118000,155900,9985,334.88,-0.027394935488700867,155899,0.005165196489542723,0.9220724552869797,0.0007,1796.49,0.5669601559638977,312,,
3120000,,,,-0.0005049928440712392,155999,2.3922057152958587e-05,0.9931551623158157,0.0007,,0.452286958694458,,442.6,2121.0
3120000,156000,10000,331.81,,,,,,1804.84,,311,,
3122000,156100,10006,333.73,-0.007119122892618179,156099,-0.00013959813804831356,0.9981341336388141,0.0007,1818.1,0.09924954175949097,311,,
3124000,156200,10013,330.21,-4.914397140964866e-05,156199,1.0107829666594625e-06,0.9977665804326534,0.0007,1806.64,0.10407423228025436,311,,
3126000,156300,10019,333.09,-0.011081250384449959,156299,-0.0004907251568511128,0.991444543004036,0.0007,1828.97,0.28440529108047485,312,,
3128000,156400,10025,335.28,-0.0002006544964388013,156399,-2.2981079382589087e-05,0.9800121784210205,0.0007,1826.61,0.510102391242981,312,,
3130000,156500,10031,340.86,-0.07080768793821335,156499,-0.36982205510139465,0.3717110753059387,0.0007,1854.52,35.440582275390625,312,,
3132000,156600,10037,344.18,-0.004901299253106117,156599,0.0003430242068134248,0.9575295522809029,0.0007,1854.95,1.0270622968673706,312,,
3134000,156700,10043,351.21,-0.02056317962706089,156699,7.665485463803634e-05,0.9962334905285388,0.0007,1856.07,0.1387934535741806,312,,
3136000,156800,10049,354.95,-0.001902385032735765,156799,0.00010662331624189392,0.646199643611908,0.0007,1847.07,9.49263858795166,312,,
3138000,156900,10055,361.07,-0.014536065049469471,156899,0.0021024930756539106,0.983848936855793,0.0007,1872.47,0.32482823729515076,312,,
3140000,157000,10061,364.13,-0.004697045311331749,156999,0.00028765699244104326,0.981478663161397,0.0007,1850.28,0.4877741038799286,312,,
3142000,157100,10067,363.47,-0.035542238503694534,157099,-0.0020024115219712257,0.9681397490203381,0.0007,1835.35,1.0751855373382568,312,,
3144000,157200,10074,362.17,-0.0015086561907082796,157199,4.287569390726276e-05,0.9948060531169176,0.0007,1833.66,0.1784433126449585,312,,
3146000,157300,10080,368.4,-0.02813117764890194,157299,-0.0022646605502814054,0.9973800992593169,0.0007,1852.03,0.03641386702656746,312,,
3148000,157400,10086,374.25,-5.663157207891345e-05,157399,2.6189688924205257e-06,0.9926532101817429,0.0007,1871.66,0.14726567268371582,312,,
3150000,157500,10092,376.25,-0.011243083514273167,157499,4.2378662328701466e-05,0.9888618476688862,0.0007,1882.25,0.2392280101776123,312,,
3152000,157600,10098,372.86,-0.017984606325626373,157599,0.0019042667699977756,0.9739980380982161,0.0007,1865.28,0.2807352840900421,312,,
3154000,157700,10104,372.45,-0.005509534385055304,157699,0.0009292643517255783,0.9664155654609203,0.0007,1866.11,0.6947359442710876,312,,
3156000,157800,10110,372.03,-0.013361962512135506,157799,-0.0003494078409858048,0.9499588571488857,0.0007,1867.74,0.5972261428833008,312,,
3158000,157900,10116,365.23,-0.05948609113693237,157899,-5.106069238536293e-06,0.9975682692602277,0.0007,1845.83,0.08175608515739441,312,,
3160000,,,,-0.016840314492583275,157999,0.011172196827828884,0.9620284847915173,0.0007,,0.8846365213394165,,314.4,1790.6
3160000,158000,10127,366.0,,,,,,1852.48,,312,,
3162000,158100,10133,369.03,-0.015978125855326653,158099,-0.012904802337288857,0.9402265809476376,0.0007,1856.76,2.077702760696411,312,,
3164000,158200,10139,377.77,-0.03482124209403992,158199,-0.16175134479999542,0.9445838108658791,0.0007,1871.82,4.2358880043029785,312,,
3166000,158300,10145,388.79,-0.00023165333550423384,158299,-1.2231597793288529e-05,0.9960725209675729,0.0007,1903.81,0.17255322635173798,312,,
3168000,158400,10152,390.88,-0.012970739975571632,158399,-0.00555254053324461,0.9833949822932482,0.0007,1889.01,0.8537898063659668,312,,
3170000,158500,10158,390.82,-0.0003250337322242558,158499,5.65210984859732e-06,0.9981655686860904,0.0007,1897.54,0.04541737586259842,312,,
3172000,158600,10164,395.24,-0.00013449443213175982,158599,1.4283592463470995e-05,0.9940257547423244,0.0007,1912.68,0.6882705092430115,312,,
3174000,158700,10170,393.37,-1.3445888953356189e-06,158699,-0.0,0.9831072464585304,0.0007,1902.19,0.20220088958740234,312,,
3176000,158800,10176,395.57,-0.006742698606103659,158799,6.47638735244982e-05,0.9873422915115952,0.0007,1912.51,0.7428135275840759,312,,
3178000,158900,10182,394.24,-0.03807642310857773,158899,-0.000793592946138233,0.9962573798839003,0.0007,1902.61,0.08274739235639572,312,,
3180000,159000,10189,387.2,-0.04577809199690819,158999,-0.040490660816431046,0.6273133158683777,0.0007,1879.47,7.651268005371094,312,,
3182000,159100,10195,385.26,-0.04748157784342766,159099,-0.024364111945033073,0.9235705956816673,0.0007,1877.06,0.21476249396800995,312,,
3184000,159200,10201,386.76,-0.0041325329802930355,159199,8.413307659793645e-05,0.9622789993882179,0.0007,1909.9,2.183638095855713,312,,
3186000,159300,10207,386.48,-0.052521687000989914,159299,-0.0213271863758564,0.9760478660464287,0.0007,1924.62,0.21932153403759003,312,,
3188000,159400,10213,389.17,-0.0017818041378632188,159399,0.0004320410662330687,0.9890843816101551,0.0007,1948.45,0.38061341643333435,312,,
3190000,159500,10219,389.89,-0.00946149043738842,159499,0.0004375265561975539,0.9597188793122768,0.0007,1945.19,1.6277754306793213,312,,
3192000,159600,10226,390.91,-0.02097763679921627,159599,0.0021337305661290884,0.9782363083213568,0.0007,1932.62,0.2928689122200012,312,,
3194000,159700,10232,391.33,-0.06127631291747093,159699,-0.06889129430055618,0.9829850010573864,0.0007,1930.49,1.069557785987854,312,,
3196000,159800,10238,393.85,-2.750516068772413e-05,159799,7.171486799961713e-07,0.955021046102047,0.0007,1943.04,1.0658667087554932,312,,
3198000,159900,10244,389.08,-0.004959906917065382,159899,-0.00659221364185214,-4.630157947540283,0.0007,1942.05,86.51114654541016,312,,
3200000,,,,-0.04074658453464508,159999,-0.0008667368674650788,0.9832176584750414,0.0007,,0.2919529974460602,,379.8,1914.2
3200000,160000,10256,389.74,,,,,,1949.24,,311,,
3202000,160100,10263,386.98,-0.04407772049307823,160099,0.023664891719818115,0.9526129588484764,0.0007,1953.51,0.2202177494764328,311,,
3204000,160200,10269,387.74,-3.408685006434098e-05,160199,-3.632940206443891e-06,0.9482531361281872,0.0007,1955.21,0.556881844997406,311,,
3206000,160300,10275,388.59,-0.029251590371131897,160299,-0.5865907073020935,0.8555022180080414,0.0007,1961.37,2.9132254123687744,311,,
3208000,160400,10281,392.29,-0.005555706564337015,160399,0.00032564831781201065,0.9968406422995031,0.0007,1966.43,0.1535082906484604,312,,
3210000,160500,10288,392.23,-0.008450432680547237,160499,0.00026790957781486213,0.9989460189826787,0.0007,1971.83,0.059230923652648926,312,,
3212000,160600,10294,392.52,-4.673593502957374e-05,160599,5.990545446366013e-07,0.9903754722326994,0.0007,1990.14,0.2538115382194519,312,,
3214000,160700,10300,392.93,-0.03045107237994671,160699,-0.02160543017089367,0.9744691103696823,0.0007,1987.51,0.6105080246925354,312,,
3216000,160800,10306,391.62,-0.010744339786469936,160799,0.001503193168900907,0.9926539212465286,0.0007,1983.32,0.17304761707782745,312,,
3218000,160900,10312,392.32,-0.0013369402149692178,160899,0.00010927461698884144,0.9888094207271934,0.0007,2001.4,0.27583205699920654,312,,
3220000,161000,10319,393.42,-0.02498052269220352,160999,0.0033007250167429447,0.9955148985609412,0.0007,1994.29,0.18962106108665466,312,,
