train/explained_variance,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,train/value_loss,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0.2811460494995117,752,0.12280140072107315,29.0,0.0007,2.465139150619507,718.18,295,11100,222000,-0.18117566406726837,11099,,
0.5223168730735779,758,-0.24245531857013702,27.59,0.0007,2.9130008220672607,685.94,295,11200,224000,-0.23259499669075012,11199,,
-0.1516808271408081,765,1.6213382482528687,25.22,0.0007,5.015164852142334,661.08,295,11300,226000,-0.4095616042613983,11299,,
0.8270729631185532,771,-0.011599267832934856,24.04,0.0007,0.2477012723684311,659.56,295,11400,228000,-0.056297678500413895,11399,,
0.6224408745765686,777,-0.43978792428970337,24.83,0.0007,4.632901191711426,661.87,295,11500,230000,-0.24970152974128723,11499,,
0.9292172566056252,784,0.013427278958261013,26.56,0.0007,0.12504680454730988,676.53,295,11600,232000,-0.15711288154125214,11599,,
0.5615413784980774,790,-0.14562566578388214,27.8,0.0007,1.9824106693267822,682.21,295,11700,234000,-0.1297864466905594,11699,,
-0.25979387760162354,797,0.01356362272053957,28.47,0.0007,6.106255054473877,689.19,296,11800,236000,-0.26645129919052124,11799,,
-0.10668861865997314,803,0.01861698552966118,29.17,0.0007,0.6231802105903625,690.04,296,11900,238000,-0.06936038285493851,11899,,
0.5578461587429047,,-0.05330406501889229,,0.0007,0.5836809277534485,,,,240000,-0.2398027926683426,11999,791.6,31.4
,812,,29.05,,,691.71,295,12000,240000,,,,
0.8560090661048889,818,0.19053548574447632,29.97,0.0007,0.38955339789390564,701.92,295,12100,242000,-0.24709157645702362,12099,,
0.4597896933555603,825,-0.25851956009864807,30.55,0.0007,1.9213663339614868,707.98,295,12200,244000,-0.2914908826351166,12199,,
0.06783872842788696,831,-0.30792996287345886,31.94,0.0007,21.69697380065918,721.98,295,12300,246000,-0.20939241349697113,12299,,
