time/total_timesteps,time/fps,train/n_updates,train/explained_variance,train/entropy_loss,train/policy_loss,time/iterations,rollout/ep_len_mean,train/learning_rate,train/value_loss,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
772000,281,38599,0.9566209428012371,-0.029532263055443764,0.019215939566493034,38600,1008.49,0.0007,0.15604881942272186,2741,45.36,,
774000,281,38699,0.9815889522433281,-0.023374274373054504,-0.0018645249074324965,38700,1031.17,0.0007,0.11063964664936066,2748,45.59,,
776000,281,38799,0.7309987843036652,-0.07099884003400803,4.506856384978164e-06,38800,1046.75,0.0007,2.975942373275757,2755,45.79,,
778000,281,38899,0.9706992618739605,-0.01739247515797615,-0.0021835484076291323,38900,1039.53,0.0007,0.2753910720348358,2762,45.82,,
780000,281,38999,0.896659217774868,-0.06085771322250366,0.013088876381516457,39000,1040.05,0.0007,0.4682586193084717,2769,45.43,,
782000,281,39099,-4.9647908210754395,-0.0751105546951294,0.17072747647762299,39100,1039.43,0.0007,13.016093254089355,2777,45.04,,
784000,281,39199,0.9008980542421341,-0.01866430602967739,0.003983746282756329,39200,1057.51,0.0007,0.1974916160106659,2784,44.72,,
786000,281,39299,0.9862185576930642,-0.07605652511119843,0.007378291338682175,39300,1089.1,0.0007,0.0525672622025013,2791,44.78,,
788000,281,39399,0.9135151952505112,-0.08148880302906036,0.003935480024665594,39400,1100.11,0.0007,0.10501944273710251,2798,44.9,,
790000,281,39499,0.9865716220811009,-0.02083894982933998,8.819819777272642e-05,39500,1104.37,0.0007,0.12294714897871017,2806,45.03,,
792000,281,39599,0.945587545633316,-0.05025981739163399,-0.004572626203298569,39600,1104.35,0.0007,0.46561241149902344,2813,45.51,,
794000,281,39699,0.9387436024844646,-0.012091398239135742,0.0002372416201978922,39700,1084.82,0.0007,0.5927762985229492,2820,45.4,,
796000,281,39799,0.8901507258415222,-0.022334400564432144,-0.004074945580214262,39800,1074.57,0.0007,2.983748197555542,2827,45.98,,
798000,281,39899,0.8285238891839981,-0.09306600689888,0.06245284900069237,39900,1062.11,0.0007,0.35446640849113464,2835,46.38,,
800000,,39999,0.7043385803699493,-0.0002737828472163528,-1.1444877600297332e-05,,,0.0007,0.13037724792957306,,,50.2,1011.0
800000,281,,,,,40000,1037.76,,,2846,47.62,,
802000,281,40099,0.9490608274936676,-0.003938840236514807,6.092965486459434e-05,40100,1038.06,0.0007,0.3815349042415619,2853,47.76,,
804000,281,40199,0.9953635432757437,-0.029776915907859802,6.39089776086621e-05,40200,1047.26,0.0007,0.09126106649637222,2860,48.04,,
806000,281,40299,0.932665079832077,-0.13409008085727692,-0.14131629467010498,40300,1054.64,0.0007,1.2916316986083984,2867,47.66,,
808000,281,40399,0.8297663480043411,-0.09183292835950851,-0.01771985925734043,40400,1049.07,0.0007,0.6724462509155273,2875,47.86,,
810000,281,40499,0.9186642616987228,-0.035355955362319946,0.014284582808613777,40500,1014.72,0.0007,0.4525729715824127,2882,48.78,,
812000,281,40599,0.9908232176676393,-0.08479248732328415,0.09449800103902817,40600,1002.28,0.0007,0.08665037155151367,2889,49.38,,
814000,281,40699,0.7669994086027145,-0.0009659490897320211,-2.1646030290867202e-05,40700,1014.81,0.0007,0.1318729966878891,2896,50.38,,
816000,280,40799,0.9418232031166553,-0.06489907205104828,0.0553819015622139,40800,1023.52,0.0007,0.5788869261741638,2903,50.43,,
818000,280,40899,0.9888580944389105,-0.0006875521503388882,8.538712791050784e-06,40900,1031.92,0.0007,0.08458594977855682,2911,50.54,,
820000,280,40999,0.49962562322616577,-0.019329654052853584,-0.014726394787430763,41000,1055.38,0.0007,2.1820549964904785,2918,51.41,,
822000,280,41099,0.9806606248021126,-8.338919724337757e-05,4.200225703243632e-06,41100,1067.49,0.0007,0.18521922826766968,2925,51.24,,
824000,280,41199,0.8914431482553482,-0.06164444237947464,-0.013380229473114014,41200,1101.46,0.0007,0.1325821578502655,2932,50.99,,
826000,280,41299,0.9209219291806221,-0.0602751262485981,0.026074040681123734,41300,1102.61,0.0007,0.29174596071243286,2939,49.26,,
828000,280,41399,0.9430768899619579,-0.03709457069635391,-0.08475185930728912,41400,1104.83,0.0007,0.8507329225540161,2947,49.92,,
830000,280,41499,0.8256721794605255,-0.09479169547557831,-0.1010565385222435,41500,1104.91,0.0007,2.226285696029663,2954,50.68,,
832000,280,41599,0.987933237105608,-0.03148902952671051,0.0008941579726524651,41600,1101.53,0.0007,0.12599018216133118,2961,51.62,,
